,1000,False
0061984,751,False
0061986,410,False
0061987,233,False
0061988,222,False
0061989,210,False
0061990,150,False
0062004,10,False
0123542,10,False
0139011,998,False
0139012,962,False
0139013,920,False
0139014,912,False
0139015,898,True
0139020,808,False
0139022,784,False
0139024,719,False
0139026,675,False
0139028,541,False
0139029,444,False
0139031,380,False
0139032,308,False
0139033,169,False
0139040,28,False
0197538,752,False
0197540,329,False
0197541,234,False
0197542,221,False
0197543,209,False
0197544,151,False
0197550,106,False
0197554,94,False
0273750,851,False
0273756,746,False
0273757,530,False
0273758,480,False
0273759,445,False
0273760,393,False
0351566,977,False
0351567,834,False
0351573,804,False
0351574,793,False
0351575,770,False
0351576,760,False
0351577,729,False
0351579,694,False
0351581,568,False
0351582,556,False
0351583,543,False
0351586,412,False
0351588,366,False
0351589,352,False
0351590,232,False
0451280,974,False
0451281,897,False
0451284,772,False
0451286,732,False
0451287,724,False
0451290,626,False
0451291,570,False
0451293,420,False
0451294,229,False
0528153,698,False
0528155,663,False
0528156,414,False
0528157,238,False
0528158,205,False
0528159,186,False
0528160,146,False
0528169,76,False
0528171,16,False
0589371,991,False
0589373,837,False
0589379,686,False
0589382,584,False
0589383,559,False
0589387,355,False
0589388,331,False
0589389,304,False
0589390,258,False
0589391,193,False
0589397,104,False
0589401,86,False
0589402,51,False
0589405,37,False
0666486,842,False
0666495,727,False
0666496,549,False
0666499,451,False
0666502,376,False
0666503,358,False
0666505,220,False
0666506,172,False
0742679,993,False
0742680,953,False
0742685,654,False
0742686,609,False
0742687,589,False
0742689,467,False
0742690,458,False
0742692,408,False
0742693,343,False
0742694,324,False
0742695,251,False
0742696,159,False
0742697,136,False
0742706,97,False
0841713,901,False
0841714,899,False
0841715,858,False
0841716,807,False
0841717,783,False
0841718,742,False
0841722,382,False
0841723,135,False
0841725,89,False
0841727,67,False
0918674,821,False
0918676,713,False
0918678,636,False
0918680,275,False
0918681,178,False
0918682,165,False
0918692,54,False
1036064,987,False
1036065,945,False
1036066,930,False
1036067,921,False
1036068,886,False
1036074,776,False
1036075,683,False
1036078,597,False
1036080,520,False
1036081,512,False
1036082,425,False
1036084,286,False
1036085,255,False
1036086,246,False
1036087,196,False
1036093,103,False
1036095,59,False
1036106,25,False
1036110,0,False
1113294,967,False
1113295,923,False
1113297,829,False
1113304,619,False
1113305,576,False
1113306,552,False
1113309,362,False
1113310,298,False
1113311,266,False
1113312,216,False
1244243,688,False
1244247,237,False
1244248,206,False
1244249,185,False
1244257,82,False
1321039,992,False
1321040,957,False
1321041,922,False
1321043,874,False
1321049,774,False
1321050,705,False
1321052,679,False
1321053,645,False
1321054,617,False
1321055,581,False
1321056,560,False
1321057,505,False
1321058,456,False
1321059,429,False
1321060,416,False
1321062,357,False
1321063,325,False
1321064,276,False
1321065,254,False
1394082,892,False
1394083,847,False
1394086,790,False
1394087,756,False
1394090,131,False
1394098,32,False
1472220,997,False
1472227,814,False
1472230,763,False
1472234,542,False
1472236,404,False
1472237,381,False
1472239,285,False
1472240,260,False
1472241,170,False
1472244,112,False
1548828,929,False
1548830,819,False
1548833,757,False
1548835,702,False
1548837,595,False
1548838,244,False
1548839,199,False
1548840,145,False
1548848,43,False
1548852,4,False
1588697,976,False
1588698,958,False
1588699,875,False
1588702,792,False
1588703,769,False
1588705,733,False
1588706,725,False
1588708,628,False
1588709,614,False
1588710,569,False
1588711,501,False
1588713,413,False
1588714,400,False
1588715,398,False
